Country,ISO Code,url,GDP,Population,Population growth rate,Exports,Current account balance,Imports,Mean Elevation (m),Coastline (km),Irrigated Land (sq km),Total area,Age structure - 0-14 years Rate,Age structure - 15-64 years Rate,Age structure - 65 years and over Rate,Total dependency ratio,Youth dependency ratio,Elderly dependency ratio,Potential support ratio,Median age,Median age - male,Median age - female,Birth rate/1000 people,Death rate/1000 people,Net migration rate/1000 people,Urban Population ratio,Urban population growth rate,Sex ratio at birth(male/female),Sex ratio 0-14 years(male/female),Sex ratio 15-64 years(male/female),Sex ratio 65 years and over(male/female),Sex ratio - total population(male/female),Mother's mean age at first birth,"Maternal mortality ratio (deaths/100,000 live births)",Infant mortality rate (per 1000 live births),Infant mortality rate - male,Infant mortality rate - female,Life expectancy at birth (years),Life expectancy at birth - male,Life expectancy at birth - female,Fertility rate (children born/women),Gross reproduction rate,Contraceptive prevalence rate,Improved Drinking Access Urban,Improved Drinking Access Rural,Improved Drinking Access Total,Unimproved Drinking Access Urban,Unimproved Drinking Access Rural,Unimproved Drinking Access Total,Current health expenditure (% of GDP),Physicians density (per 1000 people),Hospital bed density (beds per 1000 people),Improved Sanitation Access Urban,Improved Sanitation Access Rural,Improved Sanitation Access Total,Unimproved Sanitation Access Urban,Unimproved Sanitation Access Rural,Unimproved Sanitation Access Total,Obesity - adult prevalence rate,Alcohol consumption per capita (liters of pure alcohol),Alcohol consumption per capita - beer (liters of pure alcohol),Alcohol consumption per capita - wind (liters of pure alcohol),Alcohol consumption per capita - spirits (liters of pure alcohol),Alcohol consumption per capita - other alcohols (liters of pure alcohol),Tobacco use rate,Tobacco use rate - male,Tobacco use rate - female,Children under 5 years underweight rate,Married women (ages 15-49) rate,Women married by age 15 rate,Women married by age 18 rate,Education expenditures (% of GDP),Literacy rate,Literacy rate - male,Literacy rate - female,School life expectancy,School life expectancy - male,School life expectancy - female,Youth unemployment rate (ages 15-24),Youth unemployment rate (ages 15-24) - male,Youth unemployment rate (ages 15-24) - female,Forest land (% of land area),Agricultural land (% of land area),Other land (% of land area),Revenue from forest resources (% of GDP),Revenue from coal (% of GDP),Particulate matter emissions (micrograms per cubic meter),Carbon dioxide emissions (megatons),Methane emissions (megatons),Annual municipal solid waste (tons),Municipal water withdrawal (cubic meters),Industrial water withdrawal (cubic meters),Agricultural water withdrawal (cubic meters),Renewable water resources (cubic meters),GDP growth rate,GDP per capita growth rate,GDP (official exchange rate),Inflation rate,GDP by sector agriculture composition,GDP by sector industry composition,GDP by sector services composition,GDP by end use household composition,GDP by end use government composition,GDP by end use fixed capital investment composition,GDP by end use inventories investment composition,GDP by end use exports composition,GDP by end use - imports composition,Industrial production growth rate,Labor force,Agriculture labor force,Industry labor force,Services labor force,Unemployment rate,Population below poverty line,Gini Index coefficient,Household income(Lowest 10%) by percentage share,Household income(Highest 10%) by percentage share,Revenues,Expenditures,Budget Balance (% of GDP),Public debt (% of GDP),Taxes and other revenues (% of GDP),Current account balance (% of GDP),Currency and gold reserves,External debt,Exchange rates to USD,Electricity access rate,Electricity access rate - rural,Electricity access rate - urban,Electricity installed capacity (kW),Electricity consumption (kWh),Electricity exports (kWh),Electricity imports (kWh),Electricity transmission losses (kWh),Electricity fossil fuel generation (% of total capacity),Electricity nuclear generation (% of total capacity),Electricity hydro generation (% of total capacity),Electricity wind generation (% of total capacity),Electricity solar generation (% of total capacity),Electricity geothermal generation (% of total capacity),Electricity tide and wave generation,Electricity biomass and waste generation (% of total capacity),Coal production (metric tons),Coal consumption (metric tons),Coal exports (metric tons),Coal imports (metric tons),Coal reserves (metric tons),Petroleum production (bbl/day),Petroleum consumption (bbl/day),Petroleum exports (bbl/day),Petroleum imports (bbl/day),Refined petroleum products production (bbl/day),Refined petroleum products exports (bbl/day),Refined petroleum products imports (bbl/day),Natural gas production (cubic meters),Natural gas consumption (cubic meters),Natural gas exports (cubic meters),Natural gas imports (cubic meters),Natural gas reserves (cubic meters),Energy: Carbon dioxide emissions (metric tonnes),Coal emissions (metric tonnes),Petroleum emissions (metric tonnes),Gas emissions (metric tonnes),Energy consumption per capita (Btu/preson),Telephone fixed line subscriptions (per 100 people),Telephone mobile subscriptions (per 100 people),Internet users/total population,Broadband fixed subscriptions (per 100 people),Registered air carriers,Inventory of registered aircraft,Annual passenger traffic on air carriers,Annual freight traffic on air carriers (mt-km),Airports,Airports with paved runways,Airports with unpaved runways,Heliports,Total Roadways (km),Paved Roadways (km),Unpaved Roadways (km),Military expenditures (% of GDP)
Comoros,COM,https://www.cia.gov/the-world-factbook/countries/comoros/,2653000000.0,888378,1.34,139575000.0,39814000.0,353000000.0,,340.0,,2235.0,33.45,62,4.55,74.1,66.6,7.5,13.3,22.3,21.6,22.9,22.1,6.5,-2.2,30.1,2.97,1.03,1,0.92,0.78,0.94,23,217,56,66,45.7,67.5,65.2,69.9,2.69,1.33,19.4,97.4,88.5,91,2.6,11.5,8.9,5.4,0.26,nan,62.4,43.6,49,37.6,56.4,51,7.8,0.18,0.04,0.07,0.07,0,20.3,29.5,11.1,nan,61.2,nan,nan,2.6,62,67,56.9,11,11,11,21.7,21.8,21.5,1.4,84.4,14.2,1.39,0,14.37,0.2,0.19,91013 tons,4800000.0,500000 cubic meters,4700000.0,1200000000.0,2.11,3200,1186000000.0,1,47.7,11.8,40.5,92.6,20.4,20,-3.1,17.2,-47.1,-0.25,219900,80,20,nan,9.45,42.4,45.3,0.9,55.2,223000000.0,228000000.0,-6.5,32.4,25.3,6145000.0,329671800,199800000.0,415.956,87.9,82.8,100,35000 kW,96248000.0,0 kWh,0 kWh,6048000.0,100,0,0,0,0,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,2200,0,0,0,0,1241,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,326000 metric tonnes of CO2,0 metric tonnes of CO2,326000 metric tonnes of CO2,0 metric tonnes of CO2,5346000.0,1,104,27,0.1,2,9,nan,nan,4,4,nan,nan,880 km,673 km,207 km,nan
"Congo, Democratic Republic of the",COD,https://www.cia.gov/the-world-factbook/countries/congo-democratic-republic-of-the/,102956000000.0,111859928,3.13,22354000000.0,1693000000.0,16892000000.0,726.0,37.0,110.0,2344858.0,45.99,51.52,2.49,98,92.1,5.9,17.1,16.8,16.6,16.9,39.6,7.7,-0.6,47.4,4.33,1.03,1.01,1,0.77,1,19.9,547,59.1,64.7,53.4,62.2,60.4,64.1,5.56,2.74,28.1,88.8,34.7,59.4,11.2,65.3,40.6,4.1,0.38,nan,53.4,20.5,35.5,46.6,79.5,64.5,6.7,0.56,0.5,0.01,0.05,0,12.8,22.7,2.9,23.1,55.3,8.4,29.1,2.7,80,89.5,70.8,11,10,9,10.1,12,8.5,67.9,11.4,20.7,8.72,0,31.58,2.02,61.24,14385226 tons,460000000.0,150000000.0,70000000.0,1290000000000.0,6.2,1100,47160000000.0,41.5,19.7,43.6,36.7,78.5,12.7,15.9,0,25.7,-32.8,7.78,33381999.999999996,nan,nan,nan,5.43,63,42.1,2.3,34.7,5419000000.0,6382000000.0,-0.9,18.1,11.2,-587407000.0,3467000000.0,4963000000.0,1989.391,20.7,1,43.7,2919000.0,7181700000 kWh,248000000.0,385000000.0,2142000000.0,0.1,0,99.6,0,0.1,0,0,0.3,0 metric tons,10000 metric tons,0 metric tons,10000 metric tons,88000000.0,22000,17900,21300,0,0,0,21140,368000 cubic meters,368000 cubic meters,0 cubic meters,0 cubic meters,991000000.0,2653000.0,44000 metric tonnes of CO2,2608000.0,1000 metric tonnes of CO2,1371000.0,(2021,49,23.2,0.03,8,13,932043,890000,198,26,172,1,152373 km,3047 km,149326 km,0.6
"Congo, Republic of the",COG,https://www.cia.gov/the-world-factbook/countries/congo-republic-of-the/,18875000000.0,5677493,2.4,4670000000.0,1441000000.0,3279000000.0,430.0,169.0,20.0,342000.0,40.44,56.15,3.41,78.8,74,4.8,20.9,20.5,20.3,20.7,29.1,5,-0.1,69.2,3.19,1.03,1.02,1.01,0.84,1,19.6,282,31.4,34.3,28.4,72.2,70.8,73.6,3.86,1.9,30.1,97.5,56.4,84.2,2.5,43.6,15.8,4.5,0.1,nan,73.4,15.1,54.7,26.6,84.9,45.3,9.6,5.74,5.11,0.1,0.52,0.01,14.5,26.8,2.1,12.3,51.8,8.4,29.1,4.5,80.6,85.9,75.4,11,11,11,42.3,42.2,42.5,65.6,31.1,3.3,3.17,0,29.48,3.28,2.24,451200 tons,60000000.0,20000000.0,4000000.0,832000000000.0,-2.2,3200,8718000000.0,1.72,9.3,51,39.7,47.6,9.6,42.5,0.1,62.9,-62.7,-7.91,2268000.0,35.4,20.6,44,23.01,40.9,48.9,2.1,37.1,3399000000.0,2628000000.0,-7,130.8,8.95,1441000000.0,988316000.0,4605000000.0,554.531,49.6,12.3,66.9,629000 kW,2065580000 kWh,44000000.0,23000000.0,1623000000.0,70.1,0,29.9,0,0,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,270900,12600,331700,0,15760,5766,7162,1400000000.0,1400000000.0,0 cubic meters,0 cubic meters,283989000000.0,4523000.0,0 metric tonnes of CO2,1777000.0,2747000.0,16155999.999999998,(2020,97,32.1,0.02,3,12,333899,4600000.0,27,8,19,nan,23324 km,3111 km,20213 km,1.8
Cook Islands,COK,https://www.cia.gov/the-world-factbook/countries/cook-islands/,266000000.0,7939,-2.31,31400000.0,26670000.0,215000000.0,,120.0,,236.0,18.43,66.23,15.34,53.8,36.4,17.4,5.8,40.6,40.3,41,12.3,9.2,-26.2,76.2,0.52,1.04,1.1,1.07,0.96,1.06,nan,nan,15.5,19.5,11.3,77.4,74.6,80.3,2.04,1,nan,100,,,0,,,3.2,1.41,nan,99.1,,,0.9,,,55.9,12.97,3.62,2.28,7.07,0,24,27.7,20.3,nan,42.6,nan,nan,4.6,nan,nan,nan,15,15,14,nan,nan,nan,64.6,8.4,27,nan,nan,7.8,nan,nan,nan,nan,nan,nan,0 cubic meters,10.5,15600,336000000.0,2.2,5.1,12.7,82.1,nan,nan,nan,nan,nan,nan,1,6820,29,15,56,13.1,nan,nan,nan,nan,86900000.0,77900000.0,3,nan,29,26670000.0,nan,141000000.0,1.416,nan,nan,nan,18000 kW,38729000.0,0 kWh,0 kWh,3000000.0,70,0,0,0,30,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,800,0,0,0,0,611,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,114000 metric tonnes of CO2,0 metric tonnes of CO2,114000 metric tonnes of CO2,0 metric tonnes of CO2,0 Btu/person,41,100,64.8,15,1,6,nan,nan,11,1,10,nan,295 km,207 km,88 km,nan
Costa Rica,CRI,https://www.cia.gov/the-world-factbook/countries/costa-rica/,109260000000.0,5256612,0.72,23761000000.0,826158000.0,20314000000.0,746.0,1290.0,1015.0,51100.0,21.49,68.59,9.92,45.1,29.8,15.3,6.5,35,34.4,35.6,10.7,5.5,2,82.6,1.5,1.05,1.05,1.01,0.85,1,nan,22,7,7.4,6.6,79.6,77,82.4,1.4,0.68,70.9,100,100,100,0,0,0,7.9,3.3,1.1,99,97.1,98.7,1,2.9,1.3,25.7,3.07,2.17,0.15,0.36,0.39,8.8,12.9,4.6,2.9,48.4,2,17.1,6.7,98,98,98.1,17,16,17,45.4,37,56.3,51.5,37.1,11.4,0.82,0,14.7,8.02,5.61,1460000.0,830000000.0,230000000.0,2080000000.0,113000000000.0,7.58,21200,61855000000.0,1.73,5.5,20.6,73.9,64.2,17.3,17.1,1,33.3,-32.9,9.83,2426000.0,14,22,64,17.95,21,49.3,1.5,36.9,9664000000.0,14001000000.0,-6.1,48.9,12.32,-2136000000.0000002,6921000000.0,29589000000.0,620.785,100,nan,nan,3674000.0,10072472000 kWh,712000000.0,733000000.0,1321498000 kWh,0.2,0,71.1,12.5,0.6,14.5,0,1.2,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,400,63300,0,0,0,0,51320,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,8115000.0,1000 metric tonnes of CO2,8114000.000000001,0 metric tonnes of CO2,44899000.0,11,152,83,20,1,39,1948546,11130000.0,161,47,114,nan,5035 km,(2010),(2010),0.6
Croatia,HRV,https://www.cia.gov/the-world-factbook/countries/croatia/,123348000000.0,4169239,-0.47,35308000000.0,184775000.0,31793000000.0,331.0,5835.0,171.0,56594.0,13.98,63.39,22.63,56.5,22.1,34.4,2.9,44.8,42.9,46.7,8.6,13,-0.3,58.6,0.05,1.06,1.01,1.02,0.82,0.93,29,5,8.6,8.4,8.8,77.5,74.4,80.8,1.46,0.71,nan,100,,,0,,,7.8,3.47,5.5,99.5,98.4,99,0.5,1.6,1,24.4,9.64,4.75,3.52,1.37,0.36,36.9,37.6,36.1,nan,50.8,nan,nan,5.5,99.4,99.7,99.2,15,14,16,23.6,21.8,26.3,34.4,23.7,41.9,0.26,0,15.29,17.49,3.98,1654000.0,460000000.0,700000000.0,80000000.0,105500000000.0,13.07,31600,60687000000.0,2.55,3.7,26.2,70.1,57.3,19.5,20,0,51.1,-48.8,9.11,1742000.0,1.9,27.3,70.8,8.68,18.3,28.9,2.7,23,212810000000.0,211069000000.0,0.8,104.89,20.6,2081999999.9999998,28309000000.0,48263000000.0,0.845,100,nan,nan,4940000.0,16790680000 kWh,5852000000.0,10491000000.0,1659000000.0,41,0,31.8,16.1,0.9,0.9,0,9.3,0 metric tons,643000 metric tons,2000 metric tons,644000 metric tons,0 metric tons,12200,71500,0,65200,74620,40530,35530,851005000.0,3009113000 cubic meters,34462000.0,2131802000 cubic meters,24919000000.0,16751999.999999998,1674000.0,9400000.0,5678000.0,89733000.0,31,108,81,25,2,18,2093577,530000,69,24,45,1,26958 km,nan,nan,1.8
Cuba,CUB,https://www.cia.gov/the-world-factbook/countries/cuba/,137000000000.0,10985974,-0.19,2630000000.0,985400000.0,11060000000.0,108.0,3735.0,8700.0,110860.0,16.39,66.81,16.8,45.9,23.1,22.9,4.4,42.3,40.8,44.3,10,9.4,-2.5,77.5,0.19,1.06,1.07,1,0.71,0.99,nan,39,4.1,4.6,3.5,79.9,77.5,82.4,1.71,0.83,69,98.9,97,98.5,1.1,3,1.5,12.5,8.42,5.3,94.8,87,93,5.2,13,7,24.6,4.7,1.77,0.23,2.69,0.01,17.9,25.5,10.3,2.4,58,4.8,29.4,nan,99.7,99.6,99.7,14,13,15,7.4,7.6,7,27.3,60.3,12.4,0.06,0,13.32,28.28,9.3,2692692 tons,1700000000.0,740000000.0,4520000000.0,38120000000.0,1.25,12300,93790000000.0,5.5,4,22.7,73.4,57,31.6,9.6,0,14.6,-12.7,-6.75,5135000.0,18,10,72,2.76,nan,nan,nan,nan,54520000000.0,64640000000.0,-10.8,47.7,58.1,985400000.0,11350000000.0,30060000000.0,1,100,nan,nan,7479000.0,16097460000 kWh,0 kWh,0 kWh,3429000000.0,95.5,0,0.3,0.1,1.4,0,0,2.7,0 metric tons,4000 metric tons,0 metric tons,4000 metric tons,0 metric tons,38400,164100,0,48500,104100,24190,52750,976023000.0,976023000.0,0 cubic meters,0 cubic meters,70792000000.0,16478000.000000002,28000 metric tonnes of CO2,14636000.0,1814000.0,32784999.999999996,14,63,71,2,4,18,560754,17760000.0,133,64,69,nan,60000 km,20000 km,40000 km,4.2
Curacao,NLD,https://www.cia.gov/the-world-factbook/countries/curacao/,3725000000.0,152849,0.3,1280000000.0,540731000.0,2331000000.0,,364.0,,444.0,19.3,62.7,18,47,25.6,21.4,4.7,37.5,35.3,40,13.1,8.8,-1.3,89,0.57,1.05,1.06,1.01,0.83,0.93,nan,nan,7.7,8.5,6.9,79.7,77.3,82.1,1.97,0.96,nan,100,,,0,,,nan,nan,nan,100,,,0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,49.7,nan,nan,7.4,nan,nan,nan,17,18,18,42.2,38.1,47.1,nan,10,90,0,0,nan,5.39,nan,24704 tons,nan,nan,nan,nan,4.23,20800,5600000000.0,2.62,0.7,15.5,83.8,66.9,33.6,19.4,0,17.5,-37.5,nan,73010,1.2,16.9,81.8,13,nan,nan,nan,nan,nan,nan,-0.4,33.2,16.6,-596437000.0,0,nan,1.79,100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,189800,167500,45800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28,88,68.1,34,2,11,nan,nan,1,1,nan,nan,550 km,nan,nan,nan
Cyprus,CYP,https://www.cia.gov/the-world-factbook/countries/cyprus/,37546000000.0,1308120,1,24551000000.0,1445000000.0,19575000000.0,91.0,648.0,268.0,9251.0,15.63,70.36,14.01,43.8,23,20.8,4.8,39.1,37.9,40.6,10.4,7,6.7,67,0.76,1.05,1.05,0.97,0.68,1.05,30,68,8.2,9.9,6.5,80,77.2,82.9,1.48,0.72,nan,99.7,99.8,99.8,0.3,0.2,0.2,8.1,3.14,3.4,99.7,98.8,99.4,0.3,1.2,0.6,21.8,9.59,2.85,2.72,4.02,0,35.1,47,23.2,nan,54.5,nan,nan,6.1,99.4,99.6,99.2,16,16,16,11.8,9.2,14.9,18.8,13.4,67.8,0,0,14.52,6.63,0.86,541000 tons,100000000.0,20000000.0,170000000.0,780000000.0,6.64,41700,24946000000.0,2.45,2,12.5,85.5,68.7,14.9,21.1,-0.7,63.8,-67.8,8.1,655100,3.8,15.2,81,6.13,14.7,31.2,3.3,28.8,10362000000.0,9996000000.0,1.8,97.5,22.42,-1957000000.0,1611000000.0,213190000000.0,0.845,100,nan,nan,1881000.0,4733000000.0,0 kWh,0 kWh,184000000.0,86.8,0,0,5.1,6.9,0,0,1.3,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,54400,0,0,0,500,49240,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,8023999.999999999,0 metric tonnes of CO2,8023999.999999999,0 metric tonnes of CO2,133919999.99999999,34,149,91,37,2,6,401408,20000,15,13,2,9,12901 km,8631 km,4270 km,2
Czechia,CZE,https://www.cia.gov/the-world-factbook/countries/czechia/,428016000000.0,10706242,0.1,204785000000.0,2282000000.0,171429000000.0,433.0,0.0,220.0,78867.0,14.68,64.18,21.13,57.4,25.2,32.2,3.1,43.9,42.5,45.4,10,12.3,3.3,74.6,0.2,1.05,1.05,1.11,0.77,0.97,28.5,3,2.6,2.8,2.5,78.3,75.1,81.6,1.74,0.85,nan,99.9,99.8,99.9,0.1,0.2,0.1,9.2,4.15,6.6,100,100,100,0,0,0,26,12.73,6.77,2.73,3.24,0,30.7,35,26.4,nan,48.4,nan,nan,5.1,99,99,99,16,16,17,7.6,6.9,8.7,34.4,54.8,10.8,0.17,0.14,14.34,102.22,13.11,3337000.0,630000000.0,700000000.0,40000000.0,13500000000.0,3.54,40700,250631000000.0,3.84,2.3,36.9,60.8,47.4,19.2,24.7,1.1,79.9,-72.3,3.3,5266000.0,2.8,38,59.2,2.89,10.1,25.3,4.1,21.7,103838000000.0,103167000000.0,1.6,34.7,14.34,-2282000000.0,173618000000.0,191871000000.0,21.678,100,nan,nan,22485000.0,60814000000.0,23521000000.0,13368000000.0,4117000000.0,47,37.6,4.5,0.9,3,0,0,7,33806000.0,37212000.0,1885000.0,3795000.0,2927000000.0,6300,219500,400,150200,177500,52200,83860,189185000.0,8815133000 cubic meters,0 cubic meters,7590318000 cubic meters,3964000000.0,99533000.0,57268000.0,25526000.0,16739000.0,161972000.0,12,125,83,36,4,48,5727200,25230000.0,128,41,87,1,55744 km,55744 km,nan,1.5
Denmark,DNK,https://www.cia.gov/the-world-factbook/countries/denmark/,352436000000.0,5946984,0.44,205019000000.0,32465000000.000004,179356000000.0,34.0,7314.0,2360.0,43094.0,16.24,63.13,20.63,57.3,25.4,31.9,3.1,42.2,41,43.3,11.3,9.6,2.7,88.5,0.54,1.07,1.06,1.02,0.86,0.99,29.8,5,3,3.4,2.5,81.9,80,83.9,1.77,0.86,nan,100,100,100,0,0,0,10.5,4.23,2.6,100,100,100,0,0,0,19.7,9.16,3.42,4.08,1.66,0,17.5,17.8,17.1,nan,59.6,nan,0.7,6.4,nan,nan,nan,19,18,19,10.1,9.7,10.6,12.9,63.4,23.7,0.02,0,9.66,31.79,6.54,4485000.0,400000000.0,50000000.0,530000000.0,6000000000.0,3.8,59700,350037000000.0,1.85,1.3,22.9,75.8,48,25.2,20,-0.2,54.5,-47.5,5.25,3051000.0,2.4,18.3,79.3,4.8,12.5,27.7,9,23.4,185645000000.0,172408000000.0,1.1,35.3,34.07,32465000000.000004,82236000000.0,504808000000.0,6.287,100,nan,nan,17655000.0,33081000000.000004,12694000000.0,18891000000.0,1573000000.0,14.8,0,0.1,57.5,4.2,0,0,23.5,0 metric tons,1249000.0,194000 metric tons,1122000.0,0 metric tons,69000,165400,56700,95200,183900,133700,109700,1315000000.0,2188000000.0,1701000000.0,2646000000.0,29534000000.0,33850000.0,3455000.0,24621000.0,5775000.0,124163000.0,12,124,99,45,10,76,582011,mt-km,80,28,52,nan,74558 km,74558 km,nan,1.7
Djibouti,DJI,https://www.cia.gov/the-world-factbook/countries/djibouti/,5432000000.0,976143,1.93,5150000000.0,225106000.0,4764000000.0,430.0,314.0,10.0,23200.0,28.65,67.21,4.15,50.6,47.5,6.9,14.4,26,24.1,27.6,22,7.1,4.4,78.6,1.56,1.03,1.01,0.77,0.78,0.83,nan,234,46,53.1,38.7,65.6,63,68.3,2.13,1.05,19,99.7,59.3,90.8,0.3,40.7,9.2,2,0.22,1.4,87.7,24.2,73.8,12.3,75.8,26.2,13.5,0.21,0.05,0.02,0.14,0,nan,nan,nan,16.2,50.6,1.4,6.5,3.6,nan,nan,nan,7,7,7,79.9,78.6,82.2,0.2,73.4,26.4,0.26,0,19.98,0.62,0.52,114997 tons,20000000.0,0 cubic meters,3000000.0,300000000.0,4.81,4900,3323000000.0,1.78,2.4,17.3,80.2,56.5,29.2,41.8,0.3,38.6,-66.4,-4.43,240500,nan,nan,nan,28.39,21.1,41.6,2.4,30.9,725000000.0,754000000.0,-9,31.8,35.3,-225106000.0,588418000.0,1954000000.0,177.721,65.4,36.5,73.4,130000 kW,-62600000.0,0 kWh,0 kWh,120000000.0,98.2,0,0,0,1.8,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,4300,0,0,0,403,6692,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,610000 metric tonnes of CO2,0 metric tonnes of CO2,610000 metric tonnes of CO2,0 metric tonnes of CO2,8869000.0,2,44,69,3,2,4,nan,nan,13,3,10,nan,2893 km,(2000),(2000),3.5
Dominica,DMA,https://www.cia.gov/the-world-factbook/countries/dominica/,787700000.0,74656,0.02,94823000.0,210115000.0,279000000.0,,148.0,,751.0,20.82,65.82,13.36,41.2,28,13.2,7.6,36.5,36,37.1,13.6,8.1,-5.3,72,0.84,1.05,1.05,1.04,0.9,1.02,nan,nan,11,14.9,6.9,78.5,75.5,81.5,2.01,0.98,nan,95.7,,,4.3,,,5.7,1.1,3.8,,,,,,,27.9,6.32,1.64,0.29,4.39,0,nan,nan,nan,nan,40.3,nan,nan,5.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,59.2,34.7,6.1,0.03,0,8.22,0.18,0.04,13176 tons,20000000.0,0 cubic meters,1000000.0,200000000.0,6.68,10900,557000000.0,-0.73,22.3,12.6,65.1,60.6,26.2,21.5,0,54.4,-62.7,5.01,25000,40,32,28,23,29,nan,nan,nan,180000000.0,184000000.0,-5.9,82.7,40.9,-178763000.0,190843000.0,280400000.0,2.7,100,nan,nan,42000 kW,82078000.0,0 kWh,0 kWh,8100000.0,74.8,0,24.5,0.6,0.1,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,1200,0,0,0,0,1237,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,182000 metric tonnes of CO2,0 metric tonnes of CO2,182000 metric tonnes of CO2,0 metric tonnes of CO2,37513000.0,10,86,81,22,nan,,nan,nan,2,2,nan,nan,1512 km,762 km,750 km,nan
Dominican Republic,DOM,https://www.cia.gov/the-world-factbook/countries/dominican-republic/,207082000000.0,10790744,0.73,20509000000.0,1188000000.0,24526000000.0,424.0,1288.0,2980.0,48670.0,25.92,67.09,6.99,53.8,42.2,11.6,8.6,28.9,28.7,29,17.3,7.3,-2.7,84.4,1.64,1.04,1.03,1.03,0.89,1.02,20.9,107,22.7,25.4,19.9,71.9,70.3,73.5,2.13,1.05,62.8,98.3,91.7,97.2,1.7,8.3,2.8,4.9,1.45,1.6,97.4,91.3,96.3,2.6,8.7,3.7,27.6,5.56,3.15,0.17,2.18,0.06,10.6,14.6,6.5,3,52.1,9.4,31.5,4.6,95.2,95.1,95.3,14,13,15,20.6,16.6,27.9,40.8,51.5,7.7,0.03,0,7.59,25.26,8.1,4063910 tons,860000000.0,660000000.0,7560000000.0,23500000000.0,12.27,18600,88956000000.0,8.24,5.6,33,61.4,69.3,12.2,21.9,-0.1,24.8,-28.1,15.89,5027000.0,14.4,20.8,64.7,8.5,21,39.6,1.9,37.4,12804000000.0,14511000000.0,-3,37.2,12.39,-2689000000.0,13125000000.0,23094000000.0,57.221,98.1,94.8,98.7,5674000.0,16330980000 kWh,0 kWh,0 kWh,2576000000.0,93.4,0,0.7,3.2,1.5,0,0,1.2,0 metric tons,1791000.0,0 metric tons,2359000.0,0 metric tons,0,148200,0,24900,16060,0,108500,0 cubic meters,1602759000 cubic meters,28657000.0,1586449000 cubic meters,0 cubic meters,26808000.0,4713000.0,18951000.0,3144000.0,39016000.0,10,88,85,10,1,6,nan,nan,36,16,20,1,19705 km,9872 km,9833 km,0.7
Ecuador,ECU,https://www.cia.gov/the-world-factbook/countries/ecuador/,189880000000.0,17483326,0.99,26120000000.0,2952000000.0,25890000000.0,1117.0,2237.0,10000.0,283561.0,24.49,66.44,9.07,50.9,39.4,11.5,8.7,27.7,26.8,28.7,18,7.1,-1,64.8,1.62,1.05,1.04,0.98,0.89,0.97,nan,66,11.2,12.2,10.2,74.9,69.7,80.4,2.24,1.09,77.9,100,87.1,95.4,0,12.9,4.6,8.5,2.22,1.4,100,96.9,98.9,0,3.1,1.1,19.9,3.05,2.32,0.09,0.61,0.03,11.3,18.4,4.2,5.2,55.1,3.8,22.2,3.7,94.5,94.9,94,15,14,15,14.2,11.4,18.8,38.9,29.7,31.4,0.27,0,16.55,41.15,23.51,5297211 tons,1290000000.0,550000000.0,8800000000.0,442400000000.0,4.24,10700,107436000000.0,0.13,6.7,32.9,60.4,60.7,14.4,24.3,1,20.8,-21.3,0.49,8528000.0,26.1,18.4,55.5,6.43,25,47.3,1.4,35.4,35914000000.0,39319000000.0,-4.5,45.4,12.54,2952000000.0,7912000000.0,50667000000.0,nan,100,nan,nan,9354000.0,26353430000 kWh,1826000000.0,6000000.0,4303000000.0,21,0,77.2,0.2,0.1,0,0,1.5,0 metric tons,10000 metric tons,0 metric tons,10000 metric tons,24000000.0,478000,259000,349400,0,137400,25870,153900,342407000.0,342407000.0,0 cubic meters,0 cubic meters,10902000000.0,36051000.0,45000 metric tonnes of CO2,35329000.0,677000 metric tonnes of CO2,42564000.0,10,94,76,13,7,35,5365261,64200000.0,432,104,328,2,43950 km,8895 km,35055 km,2
